files,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12
D:\Dropbox\matlab_works\00_A\label_zoom\z035.png,149,188,644,708,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z036.png,418,147,349,359,592,284,359,202,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z037.png,174,119,747,781,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z038.png,102,430,923,542,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z039.png,258,129,626,765,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z040.png,129,127,693,797,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z041.png,118,334,678,409,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z042.png,96,756,288,163,820,184,459,153,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z043.png,189,1,247,1,690,299,577,255,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z044.png,97,306,730,450,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z045.png,252,82,281,880,541,367,502,145,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z046.png,176,125,547,771,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z047.png,146,105,600,756,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z048.png,115,209,785,633,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z049.png,310,218,418,526,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z050.png,224,158,556,613,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z051.png,280,95,40,227,363,272,402,195,130,602,401,112
D:\Dropbox\matlab_works\00_A\label_zoom\z052.png,136,41,610,951,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z053.png,217,249,535,537,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z054.png,26,33,866,983,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z055.png,118,286,853,478,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z056.png,210,1,249,822,671,152,579,203,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z057.png,106,185,879,602,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z058.png,217,69,497,900,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z059.png,209,142,614,732,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z060.png,192,169,793,790,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z061.png,144,193,769,713,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z062.png,241,210,588,713,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z063.png,17,192,871,628,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z064.png,186,107,746,838,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z065.png,98,63,806,819,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z066.png,100,221,577,567,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z067.png,270,243,713,673,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z068.png,133,83,892,826,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z069.png,191,169,589,658,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z070.png,41,160,962,637,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z071.png,127,110,682,839,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z072.png,170,208,675,622,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z073.png,163,605,146,97,701,420,681,273,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z074.png,96,412,737,269,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z075.png,120,327,637,406,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z076.png,174,584,917,232,934,934,632,316,108,696,91,91
D:\Dropbox\matlab_works\00_A\label_zoom\z077.png,156,1,108,316,671,159,830,420,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z078.png,81,143,931,762,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z079.png,260,180,438,606,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z080.png,45,85,965,930,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z081.png,228,78,570,893,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z082.png,187,61,575,889,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z083.png,72,120,872,812,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z084.png,178,189,601,624,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z085.png,103,89,879,885,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z086.png,137,174,729,735,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z087.png,1,23,1006,993,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z088.png,102,127,735,720,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z089.png,338,66,467,914,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z090.png,270,207,504,626,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z091.png,127,154,730,758,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z092.png,208,207,723,644,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z093.png,191,313,631,495,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z094.png,144,92,695,826,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z095.png,159,401,664,433,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z096.png,174,243,706,527,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z097.png,271,200,457,629,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z098.png,41,31,984,969,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z099.png,35,86,322,225,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z100.png,60,113,287,207,,,,,,,,
