files,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12,solar_13,solar_14,solar_15,solar_16,solar_17,solar_18,solar_19,solar_20
D:\Dropbox\matlab_works\00_A\label_zoom\z029.png,1,265,1013,509,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z030.png,42,130,827,733,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z031.png,169,298,753,461,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z032.png,28,129,955,816,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z033.png,275,16,458,1001,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z034.png,162,101,647,853,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z035.png,149,188,644,708,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z036.png,418,147,349,359,592,284,359,202,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z037.png,174,119,747,781,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z038.png,102,430,923,542,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z039.png,258,129,626,765,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z040.png,129,127,693,797,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z041.png,118,334,678,409,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z042.png,96,756,288,163,820,184,459,153,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z043.png,189,1,247,1,690,299,577,255,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z044.png,97,306,730,450,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z045.png,252,82,281,880,541,367,502,145,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z046.png,176,125,547,771,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z047.png,146,105,600,756,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z048.png,115,209,785,633,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z049.png,310,218,418,526,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z050.png,224,158,556,613,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z051.png,280,95,40,227,363,272,402,195,130,602,401,112,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z052.png,136,41,610,951,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z053.png,217,249,535,537,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z054.png,26,33,866,983,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z055.png,118,286,853,478,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z056.png,210,1,249,822,671,152,579,203,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z057.png,106,185,879,602,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z058.png,217,69,497,900,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z059.png,209,142,614,732,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z060.png,192,169,793,790,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z061.png,144,193,769,713,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z062.png,241,210,588,713,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z063.png,17,192,871,628,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z064.png,186,107,746,838,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z065.png,98,63,806,819,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z066.png,100,221,577,567,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z067.png,270,243,713,673,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z068.png,133,83,892,826,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z069.png,191,169,589,658,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z070.png,41,160,962,637,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z071.png,127,110,682,839,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z072.png,170,208,675,622,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z073.png,163,605,146,97,701,420,681,273,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z074.png,96,412,737,269,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z075.png,120,327,637,406,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z076.png,174,584,917,232,934,934,632,316,108,696,91,91,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z077.png,156,1,108,316,671,159,830,420,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z078.png,81,143,931,762,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z079.png,260,180,438,606,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z080.png,45,85,965,930,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z081.png,228,78,570,893,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z082.png,187,61,575,889,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z083.png,72,120,872,812,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z084.png,178,189,601,624,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z085.png,103,89,879,885,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z086.png,137,174,729,735,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z087.png,1,23,1006,993,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z088.png,102,127,735,720,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z089.png,338,66,467,914,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z090.png,270,207,504,626,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z091.png,127,154,730,758,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z092.png,208,207,723,644,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z093.png,191,313,631,495,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z094.png,144,92,695,826,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z095.png,159,401,664,433,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z096.png,174,243,706,527,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z097.png,271,200,457,629,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z098.png,41,31,984,969,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z099.png,35,86,322,225,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z100.png,60,113,287,207,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z101.png,44,67,318,323,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z102.png,64,1,159,10,347,103,227,267,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z103.png,5,97,40,221,296,271,244,187,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z104.png,1,46,416,301,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z105.png,123,13,173,404,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z106.png,249,55,27,723,523,197,954,181,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z107.png,73,300,755,451,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z108.png,96,124,306,253,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z109.png,97,1,117,1,703,403,732,209,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z110.png,1,85,411,224,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z111.png,127,33,652,957,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z112.png,182,245,605,579,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z113.png,1,119,1007,826,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z114.png,99,32,846,934,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z115.png,18,153,905,715,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z116.png,96,81,215,246,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z117.png,22,79,225,230,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z118.png,35,86,296,270,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z119.png,85,259,305,91,247,137,276,158,112,239,101,115,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z120.png,72,100,211,226,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z121.png,71,99,234,226,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z122.png,75,1,114,1,228,40,211,68,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z123.png,359,102,490,856,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z124.png,231,214,597,635,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z125.png,110,25,900,979,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z126.png,108,340,679,429,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z127.png,205,1,265,825,675,161,592,200,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z128.png,149,201,773,620,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z129.png,180,216,618,632,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z130.png,233,290,657,396,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z131.png,1,153,1021,656,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z132.png,218,405,560,289,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z133.png,113,63,877,867,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z134.png,41,111,857,812,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z135.png,180,25,601,982,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z136.png,189,128,585,807,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z137.png,122,128,821,839,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z138.png,158,256,724,656,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z139.png,134,160,758,741,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z140.png,79,905,187,519,879,120,665,359,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z141.png,351,118,462,751,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z142.png,130,274,751,504,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z143.png,1,30,618,955,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z144.png,267,228,458,666,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z145.png,45,92,916,863,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z146.png,100,153,762,677,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z147.png,229,170,584,738,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z148.png,147,351,854,384,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z149.png,192,67,656,897,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z150.png,201,61,650,939,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z151.png,155,134,779,811,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z152.png,63,654,121,475,748,371,846,296,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z153.png,27,1,969,995,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z154.png,191,1,189,532,790,607,659,457,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z155.png,209,201,472,660,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z156.png,232,224,504,531,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z157.png,131,287,698,643,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z158.png,351,189,405,671,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z159.png,127,176,616,606,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z160.png,169,230,636,754,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z161.png,103,205,708,693,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z162.png,1,221,1024,656,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z163.png,114,164,788,685,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z164.png,274,216,448,639,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z165.png,103,274,785,488,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z166.png,179,218,675,714,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z167.png,75,346,799,433,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z168.png,243,117,446,699,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z169.png,189,233,622,591,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z170.png,340,466,177,1,337,424,677,519,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z171.png,116,183,722,742,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z172.png,1,128,971,868,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z173.png,82,121,781,904,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z174.png,302,187,493,583,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z175.png,287,607,1,247,115,464,556,406,451,586,211,464,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z176.png,203,32,675,971,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z177.png,134,176,704,645,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z178.png,214,266,475,504,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z179.png,176,122,769,717,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z180.png,461,157,235,315,313,290,490,478,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z181.png,216,215,582,569,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z182.png,93,154,817,762,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z183.png,219,221,559,620,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z184.png,210,162,616,736,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z185.png,124,123,862,827,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z186.png,160,178,623,716,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z187.png,64,88,951,918,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z188.png,93,186,863,688,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z189.png,27,90,992,811,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z190.png,210,691,1,306,71,928,722,258,116,462,198,97,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z191.png,218,152,580,810,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z192.png,79,210,591,590,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z193.png,28,191,837,736,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z194.png,118,220,705,548,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z195.png,51,752,122,101,787,273,791,467,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z196.png,53,1,58,180,851,66,942,302,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z197.png,160,14,613,994,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z198.png,226,744,157,955,555,192,818,70,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z199.png,131,235,708,634,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z200.png,122,405,805,354,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z201.png,1,22,412,377,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z202.png,107,299,288,24,233,379,209,118,124,338,163,38,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z203.png,44,83,283,279,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z204.png,9,31,403,312,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z205.png,84,4,196,412,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z206.png,1,58,416,349,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z207.png,1,181,3,259,178,210,238,158,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z208.png,236,75,94,151,68,175,321,186,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z209.png,79,454,228,252,299,343,540,423,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z210.png,12,5,389,397,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z211.png,16,131,2,218,262,241,282,198,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z212.png,1,53,366,315,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z213.png,40,26,305,360,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z214.png,21,92,394,297,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z215.png,1,20,438,407,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z216.png,150,301,739,453,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z217.png,298,320,544,316,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z218.png,249,232,364,483,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z219.png,80,78,15,1,319,90,402,34,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z220.png,149,34,1,1,80,1,226,285,416,77,337,416,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z221.png,24,106,393,217,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z222.png,449,298,750,1,232,614,275,477,275,198,586,411,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z223.png,1,3,392,411,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z224.png,1,362,1,417,457,369,493,499,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z225.png,155,695,1,156,808,1,626,311,190,732,217,307,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z226.png,80,118,278,207,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z227.png,200,253,602,633,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z228.png,63,48,354,334,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z229.png,265,203,420,434,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z230.png,325,230,437,571,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z231.png,71,1,84,210,329,251,275,185,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z232.png,354,255,353,944,335,390,474,81,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z233.png,432,274,286,506,422,268,318,236,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z234.png,281,302,778,65,77,349,465,381,400,434,247,198,352,626,329,302,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z235.png,241,184,708,605,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z236.png,174,442,823,418,719,699,598,469,202,250,306,326,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z237.png,173,192,707,657,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z238.png,368,307,432,432,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z239.png,72,357,360,373,311,593,256,350,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z240.png,244,688,288,629,454,337,493,396,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z241.png,243,57,481,926,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z242.png,197,405,531,312,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z243.png,93,372,703,356,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z244.png,265,285,427,433,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z245.png,310,277,489,459,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z246.png,98,219,927,563,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z247.png,467,169,268,581,389,240,344,82,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z248.png,171,35,480,990,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z249.png,188,290,797,443,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z250.png,138,369,730,375,,,,,,,,,,,,,,,,
