files,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12
D:\Dropbox\matlab_works\00_A\label_wide\w041.png,392,397,267,333,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w042.png,42,199,853,728,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w043.png,307,207,399,665,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w044.png,315,339,463,479,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w045.png,285,283,427,508,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w046.png,371,304,309,343,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w047.png,263,48,555,959,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w048.png,239,298,350,433,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w049.png,227,1,1,301,83,469,719,209,202,448,232,160
D:\Dropbox\matlab_works\00_A\label_wide\w050.png,314,1,135,159,382,106,782,105,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w051.png,232,223,283,454,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w052.png,218,80,370,701,635,288,403,194,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w053.png,98,152,822,717,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w054.png,216,371,688,332,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w055.png,394,255,175,487,341,264,446,368,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w056.png,327,375,419,305,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w057.png,283,79,464,886,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w058.png,189,471,275,634,357,276,359,232,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w059.png,207,259,630,402,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w060.png,237,218,339,885,630,221,431,140,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w061.png,275,291,554,442,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w062.png,243,375,527,299,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w063.png,256,328,568,387,104,600,475,277,351,375,245,205
D:\Dropbox\matlab_works\00_A\label_wide\w064.png,51,142,229,209,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w065.png,105,41,305,210,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w066.png,250,201,77,176,34,196,130,162,199,133,152,137
D:\Dropbox\matlab_works\00_A\label_wide\w067.png,149,138,152,137,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w068.png,176,174,224,100,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w069.png,129,158,86,114,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w070.png,172,48,147,104,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w071.png,20,38,140,171,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w072.png,58,23,219,143,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w073.png,72,265,321,6,150,294,122,52,96,228,79,94
D:\Dropbox\matlab_works\00_A\label_wide\w074.png,1,198,105,279,288,189,206,138,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w075.png,196,1,1,247,119,93,143,109,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w076.png,123,180,201,127,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w077.png,193,138,103,133,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w078.png,140,91,117,174,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w079.png,168,140,88,110,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w080.png,188,203,145,64,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w081.png,88,41,255,346,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w082.png,50,101,153,132,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w083.png,104,194,105,114,77,108,132,134,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w084.png,120,100,241,206,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w085.png,23,71,229,298,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w086.png,83,202,117,276,225,143,173,113,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w087.png,66,133,257,150,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w088.png,224,142,130,179,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w089.png,235,217,111,47,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w090.png,218,68,66,169,153,145,206,132,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w091.png,131,54,204,215,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w092.png,148,191,147,116,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w093.png,143,176,157,126,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w094.png,144,124,77,234,136,90,160,126,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w095.png,124,101,141,158,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w096.png,85,173,280,155,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w097.png,250,126,172,139,89,105,76,134,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w098.png,207,266,112,31,194,336,130,151,305,152,133,81
D:\Dropbox\matlab_works\00_A\label_wide\w099.png,35,160,57,106,86,186,113,165,98,105,173,111
D:\Dropbox\matlab_works\00_A\label_wide\w100.png,31,121,133,84,,,,,,,,
