files,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12,solar_13,solar_14,solar_15,solar_16,solar_17,solar_18,solar_19,solar_20
D:\Dropbox\matlab_works\00_A\label_wide\w034.png,90,301,935,514,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w035.png,93,119,819,814,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w036.png,130,119,729,835,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w037.png,39,901,162,623,848,124,722,201,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w038.png,93,99,690,852,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w039.png,239,79,600,857,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w040.png,295,600,432,355,310,152,195,226,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w041.png,392,397,267,333,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w042.png,42,199,853,728,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w043.png,307,207,399,665,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w044.png,315,339,463,479,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w045.png,285,283,427,508,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w046.png,371,304,309,343,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w047.png,263,48,555,959,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w048.png,239,298,350,433,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w049.png,227,1,1,301,83,469,719,209,202,448,232,160,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w050.png,314,1,135,159,382,106,782,105,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w051.png,232,223,283,454,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w052.png,218,80,370,701,635,288,403,194,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w053.png,98,152,822,717,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w054.png,216,371,688,332,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w055.png,394,255,175,487,341,264,446,368,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w056.png,327,375,419,305,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w057.png,283,79,464,886,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w058.png,189,471,275,634,357,276,359,232,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w059.png,207,259,630,402,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w060.png,237,218,339,885,630,221,431,140,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w061.png,275,291,554,442,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w062.png,243,375,527,299,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w063.png,256,328,568,387,104,600,475,277,351,375,245,205,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w064.png,51,142,229,209,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w065.png,105,41,305,210,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w066.png,250,201,77,176,34,196,130,162,199,133,152,137,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w067.png,149,138,152,137,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w068.png,176,174,224,100,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w069.png,129,158,86,114,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w070.png,172,48,147,104,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w071.png,20,38,140,171,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w072.png,58,23,219,143,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w073.png,72,265,321,6,150,294,122,52,96,228,79,94,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w074.png,1,198,105,279,288,189,206,138,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w075.png,196,1,1,247,119,93,143,109,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w076.png,123,180,201,127,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w077.png,193,138,103,133,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w078.png,140,91,117,174,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w079.png,168,140,88,110,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w080.png,188,203,145,64,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w081.png,88,41,255,346,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w082.png,50,101,153,132,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w083.png,104,194,105,114,77,108,132,134,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w084.png,120,100,241,206,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w085.png,23,71,229,298,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w086.png,83,202,117,276,225,143,173,113,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w087.png,66,133,257,150,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w088.png,224,142,130,179,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w089.png,235,217,111,47,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w090.png,218,68,66,169,153,145,206,132,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w091.png,131,54,204,215,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w092.png,148,191,147,116,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w093.png,143,176,157,126,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w094.png,144,124,77,234,136,90,160,126,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w095.png,124,101,141,158,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w096.png,85,173,280,155,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w097.png,250,126,172,139,89,105,76,134,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w098.png,207,266,112,31,194,336,130,151,305,152,133,81,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w099.png,35,160,57,106,86,186,113,165,98,105,173,111,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w100.png,31,121,133,84,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w101.png,5,51,412,321,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w102.png,1,25,264,392,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w103.png,38,305,111,287,279,97,306,91,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w104.png,72,22,273,370,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w105.png,95,64,296,212,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w106.png,92,145,267,146,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w107.png,10,52,396,260,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w108.png,138,83,219,213,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w109.png,218,152,66,263,193,186,203,137,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w110.png,113,98,228,215,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w111.png,2,59,296,304,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w112.png,75,172,192,182,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w113.png,94,150,258,146,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w114.png,47,62,368,299,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w115.png,50,78,222,287,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w116.png,3,24,411,365,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w117.png,33,1,86,3,333,116,251,104,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w118.png,146,94,98,1,242,61,187,41,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w119.png,254,170,44,203,106,124,94,179,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w120.png,257,66,137,93,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w121.png,190,207,84,94,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w122.png,257,106,139,222,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w123.png,181,2,183,140,222,78,111,62,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w124.png,140,213,376,216,118,179,213,285,66,123,41,44,56,82,68,31,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w125.png,166,85,156,247,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w126.png,70,159,239,179,168,54,67,56,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w127.png,163,134,79,97,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w128.png,159,100,123,83,355,223,147,98,67,206,62,86,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w129.png,183,74,711,1,183,376,282,589,406,134,314,273,603,141,411,436,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w130.png,29,683,299,1,755,226,724,71,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w131.png,242,243,537,559,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w132.png,144,408,1,226,93,898,615,360,87,595,285,127,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w133.png,90,23,885,194,341,1,833,140,140,766,334,230,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w134.png,192,1,1,11,360,1,832,282,134,887,395,130,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w135.png,522,98,85,672,1,240,823,936,501,721,270,269,228,610,202,89,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w136.png,74,176,959,69,1,392,827,615,66,901,113,306,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w137.png,221,602,256,661,402,195,597,173,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w138.png,344,397,615,491,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w139.png,256,357,517,336,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w140.png,229,339,510,447,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w141.png,32,327,882,356,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w142.png,224,442,560,285,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w143.png,175,295,595,620,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w144.png,98,107,661,880,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w145.png,122,880,269,762,664,145,563,263,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w146.png,304,45,331,650,383,570,381,294,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w147.png,1,291,903,511,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w148.png,387,357,559,261,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w149.png,135,603,56,831,851,422,935,194,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w150.png,210,1,216,1,723,399,416,345,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w151.png,467,130,543,135,463,563,327,470,204,272,475,157,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w152.png,339,331,308,372,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w153.png,375,293,342,349,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w154.png,295,712,208,816,420,189,599,209,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w155.png,23,173,984,701,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w156.png,245,112,442,719,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w157.png,155,261,640,562,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w158.png,243,146,608,595,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w159.png,381,226,48,328,456,382,642,691,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w160.png,191,128,652,735,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w161.png,362,463,328,260,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w162.png,79,75,912,871,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w163.png,501,418,183,451,408,345,467,400,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w164.png,418,258,395,499,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w165.png,10,1,694,668,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w166.png,298,383,328,499,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w167.png,1,349,503,442,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w168.png,616,47,15,389,168,688,237,371,415,805,383,195,171,291,229,337,160,122,262,197
D:\Dropbox\matlab_works\00_A\label_wide\w169.png,29,248,971,533,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w170.png,88,146,861,744,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w171.png,1,331,934,408,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w172.png,311,231,361,643,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w173.png,394,602,346,133,899,584,461,643,613,376,262,315,126,231,290,205,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w174.png,189,403,528,242,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w175.png,551,149,237,208,400,445,560,623,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w176.png,1,330,927,422,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w177.png,128,679,237,575,455,259,408,150,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w178.png,178,331,539,64,737,490,464,245,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w179.png,461,162,146,538,370,478,368,360,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w180.png,301,237,411,530,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w181.png,253,143,403,630,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w182.png,301,311,435,372,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w183.png,213,266,522,462,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w184.png,101,1,646,910,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w185.png,139,138,653,745,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w186.png,203,411,637,332,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w187.png,261,315,589,538,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w188.png,215,211,159,62,152,180,143,64,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w189.png,252,220,148,189,324,11,111,125,101,129,93,89,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w190.png,302,136,53,239,103,110,115,81,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w191.png,122,33,94,110,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w192.png,167,56,59,53,177,298,70,65,84,71,55,65,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w193.png,281,75,131,161,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w194.png,123,51,3,339,181,185,189,78,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w195.png,285,134,95,74,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w196.png,105,27,209,201,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w197.png,204,104,150,170,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w198.png,68,98,162,171,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w199.png,79,144,130,116,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w200.png,31,59,197,116,,,,,,,,,,,,,,,,
